UUID,Title,Shortname,Website Link,Citation,API service,Description,Type,Programmatic Access,Notes,Relationships to other tools,Tags,POC,Timestamp
ff12cbb2-fa28-4bbf-b988-047351a45ded,OvationPyme,ovationpyme,https://github.com/lkilcommons/OvationPyme,,,"A pure-python implementation of the Ovation Prime 2010 auroral precipitation model

Ovation Prime 2010, (described in Newell et al., 2009 and Newell et al. 2010) is a model which predicts the total energy flux, total number flux, and average characteristic energy of precipitating electrons and ions in the polar regions. A Maxwellian particle energy (and velocity) distribution is assumed for the calculation of average energy. The model was based on data from the Defense Meteorology Satellite Program spacecraft, using data beginning in 1985. These spacecraft carry a particle detector (SSJ) which is sensitive to particles with characteristic energies between 30 eV and 30 keV.
Provenance of this implementation

Ovation Pyme is a complete translation of the IDL (a proprietary programming language, owned by ExelisVis) version released in an open source format on Sourceforge by Janet Machol, Rob Redmon and Nathan Case of NOAA National Center for Environmental Information (NCEI)",,,,,,Liam Kilcommons,"Fri, 04 Feb 2022 17:09:13 GMT"
1268d8d5-b774-4b45-aa3d-13142d144126,apexpy,apexpy,https://github.com/aburrell/apexpy,,,"This is a Python wrapper for the Apex fortran library by Emmert et al. [2010] [1], which allows converting between geodetic, modified apex, and quasi-dipole coordinates as well as getting modified apex and quasi-dipole base vectors (Richmond [1995] [2]). The geodetic system used here is WGS84. MLT calculations are also included. The package is free software (MIT license).",,,,,,,"Fri, 04 Feb 2022 17:09:18 GMT"
564e2c4c-d23e-4a7f-b06d-63f6db6165cd,OCBpy,ocbpy,https://github.com/aburrell/ocbpy,,,"OCBpy is a Python module that converts between AACGM coordinates and a magnetic coordinate system that adjusts latitude and local time relative to the Open Closed field line Boundary (OCB). This is particulary useful for statistical studies of the poles, where gridding relative to a fixed magnetic coordinate system would cause averaging of different physical regions, such as auroral and polar cap measurements. ",,,,,,Angeline Burrell,"Fri, 04 Feb 2022 17:09:36 GMT"
1bcebe26-9235-4d85-a4be-2253697e4886,Voice Atlas,voiceatlas,https://voiceatlas.com/,,,natural language processing integration with Jupyter notebook,,,,,,,"Fri, 04 Feb 2022 17:09:21 GMT"
d9da1d7e-7a22-4a2f-a698-84f6afc84c73,Semantic Scholar,semantic_scholar,https://www.semanticscholar.org/,,,"A free, AI-powered research tool for scientific literature",,,,,,,"Fri, 04 Feb 2022 17:09:21 GMT"
4fb97d29-5d49-4695-98d6-4111eda2c930,Community Coordinated Modeling Center,ccmc,https://ccmc.gsfc.nasa.gov/,,,Resource for space weather models and related services,,,,,,,"Fri, 04 Feb 2022 17:09:23 GMT"
52b2afad-ecf9-4084-aa8a-92e6d241718c,Kamodo,kamodo,https://github.com/nasa/Kamodo,,,Open-source python resource for model data access,,,,,,Katherine Garcia-Sage,"Fri, 04 Feb 2022 17:09:50 GMT"
a7130f2d-1137-4230-8551-d9e5f691cd70,Slurm,slurm,https://github.com/PySlurm/pyslurm,,,HPC compatibility,,,,,,,"Fri, 04 Feb 2022 17:09:41 GMT"
f8fc988b-fc7c-41a7-abaa-4b7c7041e5b5,API Baker,api_baker,https://apibakery.com/,,?,turn a Jupyter notebook into an API,,,,,,,"Fri, 04 Feb 2022 17:09:44 GMT"
8340f07a-6914-4257-9e77-8bca1350e6ab,KanikAPI,kanik,?,,,build container images as a service,,,,,,,"Fri, 04 Feb 2022 17:09:45 GMT"
4965a1b8-11be-43e1-886d-d1eb831db276,AWS Lambda,aws_lambda,?,,,run serverless tasks from a notebook,,,,,,,"Fri, 04 Feb 2022 17:09:45 GMT"
